member_id,skill,level,last_used,evidence_links
M1,Backlog Management,3,2025-09-02,https://example.com/backlog-management
M1,Roadmapping,3,2025-06-30,https://example.com/roadmapping
M1,User Research,4,2025-09-02,https://example.com/user-research
M1,Analytics,3,2025-06-21,https://example.com/analytics
M1,Feature Flags,3,2025-08-19,https://example.com/feature-flags
M1,A/B Testing,5,2025-07-27,https://example.com/a/b-testing
M2,Python,4,2025-08-24,https://example.com/python
M2,Node.js,3,2025-09-16,https://example.com/node.js
M2,PostgreSQL,3,2025-08-24,https://example.com/postgresql
M2,AWS,5,2025-08-25,https://example.com/aws
M2,Kafka,5,2025-09-05,https://example.com/kafka
M2,CI/CD,3,2025-10-06,https://example.com/ci/cd
M2,Microservices,4,2025-06-29,https://example.com/microservices
M3,Cypress,3,2025-06-16,https://example.com/cypress
M3,Playwright,5,2025-08-19,https://example.com/playwright
M3,Jest,3,2025-10-06,https://example.com/jest
M3,JUnit,4,2025-07-05,https://example.com/junit
M3,Test Strategy,4,2025-09-23,https://example.com/test-strategy
M3,Regression Testing,3,2025-09-25,https://example.com/regression-testing
M4,Figma,5,2025-09-18,https://example.com/figma
M4,Design Systems,3,2025-06-27,https://example.com/design-systems
M4,Accessibility,3,2025-08-30,https://example.com/accessibility
M4,Prototyping,4,2025-07-25,https://example.com/prototyping
M4,UX Research,4,2025-09-03,https://example.com/ux-research
M5,Kubernetes,4,2025-06-21,https://example.com/kubernetes
M5,Docker,3,2025-06-30,https://example.com/docker
M5,Terraform,4,2025-08-24,https://example.com/terraform
M5,Grafana,5,2025-06-26,https://example.com/grafana
M5,Prometheus,4,2025-09-10,https://example.com/prometheus
M5,Incident Response,5,2025-07-17,https://example.com/incident-response
M6,Django,5,2025-07-26,https://example.com/django
M6,Flask,4,2025-10-05,https://example.com/flask
M6,REST APIs,4,2025-06-14,https://example.com/rest-apis
M6,MongoDB,5,2025-08-02,https://example.com/mongodb
M6,Security,4,2025-07-11,https://example.com/security
M6,Payments,5,2025-07-17,https://example.com/payments
